"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"regulation of nitric oxide biosynthetic process (GO:0045428)","14/40",0.018826219546197,0.179486840266919,0,0,2.16604080368549,8.60460732515603,"HSP90AA1;HSP90AB1;PTGIS;SMAD3;ROCK2;CAV1;INSR;PKD2;PTGS2;KLF4;ASS1;DDAH1;RAC1;JAK2"
"regulation of sodium ion transmembrane transporter activity (GO:2000649)","14/40",0.018826219546197,0.179486840266919,0,0,2.16604080368549,8.60460732515603,"CAMK2D;PRKCE;NEDD4L;GLRX;FGF14;SLMAP;DMD;GPD1L;FGF13;UTRN;SCN4B;SCN1B;PTPN3;SCN2B"
"cellular response to fluid shear stress (GO:0071498)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"MEF2C;MAPK7;KLF4;PKD2;ASS1;MTSS1"
"mitochondrion distribution (GO:0048311)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"MEF2A;CLUH;LRRK2;MAPT;DNM1L;TRAK2"
"negative regulation of JUN kinase activity (GO:0043508)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"DNAJA1;DUSP10;PDCD4;AIDA;HIPK3;MAPK8IP1"
"negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"GSTM2;GSTO1;SRI;CALM1;CLIC2;PKD2"
"negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"GSTM2;GSTO1;SRI;CALM1;CLIC2;PKD2"
"negative regulation of vascular permeability (GO:0043116)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"ANGPT1;DDAH1;PTPRJ;SLIT2;FERMT2;VEGFA"
"positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"GDNF;SIX4;SMO;SOX9;AGT;VEGFA"
"positive regulation of vascular permeability (GO:0043117)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"TJP1;ANGPT1;TRPV4;BMP6;TJP2;VEGFA"
"regulation of histone H3-K9 methylation (GO:0051570)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"ZNF274;KDM1A;ATRX;DNMT3B;BRCA1;JARID2"
"regulation of muscle system process (GO:0090257)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"TPM1;ANXA6;ATP1A2;SRI;PPP1R12B;MYL9"
"regulation of vascular associated smooth muscle cell migration (GO:1904752)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"DOCK5;MEF2C;NR4A3;ADAMTS1;TPM1;PRKG1"
"regulation of ventricular cardiac muscle cell action potential (GO:0098911)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"DSP;BIN1;CAV1;PKP2;CACNA1C;TRPM4"
"serine family amino acid biosynthetic process (GO:0009070)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"MTHFD1;CBS;PSAT1;CTH;PHGDH;SERINC3"
"urogenital system development (GO:0001655)","6/12",0.0190952210913521,0.179486840266919,0,0,4.01958814665997,15.9108048169549,"OSR2;ANXA1;SOX9;EPHB2;ALOX15B;EPHB3"
